#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4E240201   3   4   t   24       4          5              1     HOX    -4     1   -999
 47401001   3   4   t   24       4          5              2      HO    -4     1      4
 47401048   3   4   t   24       4          6              0      HO    -4    72      4
 4E240247   3   4   t   24       4          6              1     HOX    -4    71   -999
 47401047   3   4   t   24       4          6              2      HO    -4    71      4
 47480404   3   4   t   24       4          7              0      HO     1     4      4
 47480C04   3   4   t   24       4          7              1      HO     3     4      4
 47481004   3   4   t   24       4          7              2      HO     4     4      4
 47480C03   3   4   t   24       4          8              0      HO     3     3      4
 47480403   3   4   t   24       4          8              1      HO     1     3      4
 47481003   3   4   t   24       4          8              2      HO     4     3      4
 47401C48   3   4   b   24       5          1              0      HO    -7    72      4
 47401C47   3   4   b   24       5          1              1      HO    -7    71      4
 47401C01   3   4   b   24       5          1              2      HO    -7     1      4
 47401801   3   4   b   24       5          2              0      HO    -6     1      4
 47401848   3   4   b   24       5          2              1      HO    -6    72      4
 47401847   3   4   b   24       5          2              2      HO    -6    71      4
 47401448   3   4   b   24       5          3              0      HO    -5    72      4
 47401447   3   4   b   24       5          3              1      HO    -5    71      4
 47401401   3   4   b   24       5          3              2      HO    -5     1      4
 47480402   3   4   b   24       5          4              0      HO     1     2      4
 47480C02   3   4   b   24       5          4              1      HO     3     2      4
 47481002   3   4   b   24       5          4              2      HO     4     2      4
 47480C01   3   4   b   24       5          5              0      HO     3     1      4
 47480401   3   4   b   24       5          5              1      HO     1     1      4
 47481001   3   4   b   24       5          5              2      HO     4     1      4
 47480448   3   4   b   24       5          6              0      HO     1    72      4
 47480C48   3   4   b   24       5          6              1      HO     3    72      4
 47481048   3   4   b   24       5          6              2      HO     4    72      4
 47480C47   3   4   b   24       5          7              0      HO     3    71      4
 47480447   3   4   b   24       5          7              1      HO     1    71      4
 47481047   3   4   b   24       5          7              2      HO     4    71      4
 4E240781   3   4   b   24       5          8              0     HOX   -15     1   -999
 4E2407C8   3   4   b   24       5          8              1     HOX   -15    72   -999
 4E2407C7   3   4   b   24       5          8              2     HOX   -15    71   -999
 47403C03   3   5   t   24       6          1              0      HO   -15     3      4
 47403C02   3   5   t   24       6          1              1      HO   -15     2      4
 47403C04   3   5   t   24       6          1              2      HO   -15     4      4
 47403804   3   5   t   24       6          2              0      HO   -14     4      4
 47403803   3   5   t   24       6          2              1      HO   -14     3      4
 47403802   3   5   t   24       6          2              2      HO   -14     2      4
 47403403   3   5   t   24       6          3              0      HO   -13     3      4
 47403402   3   5   t   24       6          3              1      HO   -13     2      4
 47403404   3   5   t   24       6          3              2      HO   -13     4      4
 47403004   3   5   t   24       6          4              0      HO   -12     4      4
