New HCAL QIETypes set
#             eta             phi             dep             det    value      DetId
              -16              63               2              HB               0   4320403F
               -1              64               1              HB               0   43100440
               -2              64               1              HB               0   43100840
               -3              64               1              HB               0   43100C40
               -4              64               1              HB               0   43101040
               -5              64               1              HB               0   43101440
               -6              64               1              HB               0   43101840
               -7              64               1              HB               0   43101C40
               -8              64               1              HB               0   43102040
               -9              64               1              HB               0   43102440
              -10              64               1              HB               0   43102840
              -11              64               1              HB               0   43102C40
              -12              64               1              HB               0   43103040
              -13              64               1              HB               0   43103440
              -14              64               1              HB               0   43103840
              -15              64               1              HB               0   43103C40
              -15              64               2              HB               0   43203C40
              -16              64               1              HB               0   43104040
              -16              64               2              HB               0   43204040
               -1              65               1              HB               0   43100441
               -2              65               1              HB               0   43100841
               -3              65               1              HB               0   43100C41
               -4              65               1              HB               0   43101041
               -5              65               1              HB               0   43101441
               -6              65               1              HB               0   43101841
               -7              65               1              HB               0   43101C41
               -8              65               1              HB               0   43102041
               -9              65               1              HB               0   43102441
              -10              65               1              HB               0   43102841
              -11              65               1              HB               0   43102C41
              -12              65               1              HB               0   43103041
              -13              65               1              HB               0   43103441
              -14              65               1              HB               0   43103841
              -15              65               1              HB               0   43103C41
              -15              65               2              HB               0   43203C41
              -16              65               1              HB               0   43104041
              -16              65               2              HB               0   43204041
               -1              66               1              HB               0   43100442
               -2              66               1              HB               0   43100842
               -3              66               1              HB               0   43100C42
               -4              66               1              HB               0   43101042
               -5              66               1              HB               0   43101442
               -6              66               1              HB               0   43101842
               -7              66               1              HB               0   43101C42
               -8              66               1              HB               0   43102042
               -9              66               1              HB               0   43102442
              -10              66               1              HB               0   43102842
              -11              66               1              HB               0   43102C42
              -12              66               1              HB               0   43103042
              -13              66               1              HB               0   43103442
              -14              66               1              HB               0   43103842
              -15              66               1              HB               0   43103C42
              -15              66               2              HB               0   43203C42
              -16              66               1              HB               0   43104042
              -16              66               2              HB               0   43204042
               -1              67               1              HB               0   43100443
               -2              67               1              HB               0   43100843
               -3              67               1              HB               0   43100C43
               -4              67               1              HB               0   43101043
               -5              67               1              HB               0   43101443
               -6              67               1              HB               0   43101843
               -7              67               1              HB               0   43101C43
               -8              67               1              HB               0   43102043
               -9              67               1              HB               0   43102443
              -10              67               1              HB               0   43102843
              -11              67               1              HB               0   43102C43
              -12              67               1              HB               0   43103043
              -13              67               1              HB               0   43103443
              -14              67               1              HB               0   43103843
              -15              67               1              HB               0   43103C43
              -15              67               2              HB               0   43203C43
              -16              67               1              HB               0   43104043
              -16              67               2              HB               0   43204043
               -1              68               1              HB               0   43100444
               -2              68               1              HB               0   43100844
               -3              68               1              HB               0   43100C44
               -4              68               1              HB               0   43101044
               -5              68               1              HB               0   43101444
               -6              68               1              HB               0   43101844
               -7              68               1              HB               0   43101C44
               -8              68               1              HB               0   43102044
               -9              68               1              HB               0   43102444
              -10              68               1              HB               0   43102844
              -11              68               1              HB               0   43102C44
              -12              68               1              HB               0   43103044
              -13              68               1              HB               0   43103444
              -14              68               1              HB               0   43103844
              -15              68               1              HB               0   43103C44
              -15              68               2              HB               0   43203C44
              -16              68               1              HB               0   43104044
              -16              68               2              HB               0   43204044
               -1              69               1              HB               0   43100445
               -2              69               1              HB               0   43100845
               -3              69               1              HB               0   43100C45
               -4              69               1              HB               0   43101045
               -5              69               1              HB               0   43101445
               -6              69               1              HB               0   43101845
               -7              69               1              HB               0   43101C45
               -8              69               1              HB               0   43102045
               -9              69               1              HB               0   43102445
              -10              69               1              HB               0   43102845
              -11              69               1              HB               0   43102C45
              -12              69               1              HB               0   43103045
              -13              69               1              HB               0   43103445
              -14              69               1              HB               0   43103845
              -15              69               1              HB               0   43103C45
              -15              69               2              HB               0   43203C45
              -16              69               1              HB               0   43104045
              -16              69               2              HB               0   43204045
               -1              70               1              HB               0   43100446
               -2              70               1              HB               0   43100846
               -3              70               1              HB               0   43100C46
               -4              70               1              HB               0   43101046
               -5              70               1              HB               0   43101446
               -6              70               1              HB               0   43101846
               -7              70               1              HB               0   43101C46
               -8              70               1              HB               0   43102046
               -9              70               1              HB               0   43102446
              -10              70               1              HB               0   43102846
              -11              70               1              HB               0   43102C46
              -12              70               1              HB               0   43103046
              -13              70               1              HB               0   43103446
              -14              70               1              HB               0   43103846
              -15              70               1              HB               0   43103C46
              -15              70               2              HB               0   43203C46
              -16              70               1              HB               0   43104046
              -16              70               2              HB               0   43204046
               -1              71               1              HB               0   43100447
               -2              71               1              HB               0   43100847
               -3              71               1              HB               0   43100C47
               -4              71               1              HB               0   43101047
               -5              71               1              HB               0   43101447
               -6              71               1              HB               0   43101847
               -7              71               1              HB               0   43101C47
               -8              71               1              HB               0   43102047
               -9              71               1              HB               0   43102447
              -10              71               1              HB               0   43102847
              -11              71               1              HB               0   43102C47
              -12              71               1              HB               0   43103047
              -13              71               1              HB               0   43103447
              -14              71               1              HB               0   43103847
              -15              71               1              HB               0   43103C47
              -15              71               2              HB               0   43203C47
              -16              71               1              HB               0   43104047
              -16              71               2              HB               0   43204047
               -1              72               1              HB               0   43100448
               -2              72               1              HB               0   43100848
               -3              72               1              HB               0   43100C48
               -4              72               1              HB               0   43101048
               -5              72               1              HB               0   43101448
               -6              72               1              HB               0   43101848
               -7              72               1              HB               0   43101C48
               -8              72               1              HB               0   43102048
               -9              72               1              HB               0   43102448
              -10              72               1              HB               0   43102848
              -11              72               1              HB               0   43102C48
              -12              72               1              HB               0   43103048
              -13              72               1              HB               0   43103448
              -14              72               1              HB               0   43103848
              -15              72               1              HB               0   43103C48
              -15              72               2              HB               0   43203C48
              -16              72               1              HB               0   43104048
              -16              72               2              HB               0   43204048
                1               1               1              HB               0   43180401
                2               1               1              HB               0   43180801
                3               1               1              HB               0   43180C01
                4               1               1              HB               0   43181001
                5               1               1              HB               0   43181401
                6               1               1              HB               0   43181801
                7               1               1              HB               0   43181C01
                8               1               1              HB               0   43182001
                9               1               1              HB               0   43182401
               10               1               1              HB               0   43182801
               11               1               1              HB               0   43182C01
               12               1               1              HB               0   43183001
               13               1               1              HB               0   43183401
               14               1               1              HB               0   43183801
               15               1               1              HB               0   43183C01
               15               1               2              HB               0   43283C01
               16               1               1              HB               0   43184001
               16               1               2              HB               0   43284001
                1               2               1              HB               0   43180402
                2               2               1              HB               0   43180802
                3               2               1              HB               0   43180C02
                4               2               1              HB               0   43181002
                5               2               1              HB               0   43181402
                6               2               1              HB               0   43181802
                7               2               1              HB               0   43181C02
                8               2               1              HB               0   43182002
                9               2               1              HB               0   43182402
               10               2               1              HB               0   43182802
               11               2               1              HB               0   43182C02
               12               2               1              HB               0   43183002
               13               2               1              HB               0   43183402
               14               2               1              HB               0   43183802
               15               2               1              HB               0   43183C02
               15               2               2              HB               0   43283C02
               16               2               1              HB               0   43184002
               16               2               2              HB               0   43284002
                1               3               1              HB               0   43180403
                2               3               1              HB               0   43180803
                3               3               1              HB               0   43180C03
                4               3               1              HB               0   43181003
                5               3               1              HB               0   43181403
                6               3               1              HB               0   43181803
                7               3               1              HB               0   43181C03
                8               3               1              HB               0   43182003
                9               3               1              HB               0   43182403
               10               3               1              HB               0   43182803
               11               3               1              HB               0   43182C03
               12               3               1              HB               0   43183003
               13               3               1              HB               0   43183403
               14               3               1              HB               0   43183803
               15               3               1              HB               0   43183C03
               15               3               2              HB               0   43283C03
               16               3               1              HB               0   43184003
               16               3               2              HB               0   43284003
                1               4               1              HB               0   43180404
                2               4               1              HB               0   43180804
                3               4               1              HB               0   43180C04
                4               4               1              HB               0   43181004
                5               4               1              HB               0   43181404
                6               4               1              HB               0   43181804
                7               4               1              HB               0   43181C04
                8               4               1              HB               0   43182004
                9               4               1              HB               0   43182404
               10               4               1              HB               0   43182804
               11               4               1              HB               0   43182C04
               12               4               1              HB               0   43183004
               13               4               1              HB               0   43183404
               14               4               1              HB               0   43183804
               15               4               1              HB               0   43183C04
               15               4               2              HB               0   43283C04
               16               4               1              HB               0   43184004
               16               4               2              HB               0   43284004
                1               5               1              HB               0   43180405
                2               5               1              HB               0   43180805
                3               5               1              HB               0   43180C05
                4               5               1              HB               0   43181005
                5               5               1              HB               0   43181405
                6               5               1              HB               0   43181805
                7               5               1              HB               0   43181C05
                8               5               1              HB               0   43182005
                9               5               1              HB               0   43182405
               10               5               1              HB               0   43182805
               11               5               1              HB               0   43182C05
               12               5               1              HB               0   43183005
               13               5               1              HB               0   43183405
               14               5               1              HB               0   43183805
               15               5               1              HB               0   43183C05
               15               5               2              HB               0   43283C05
               16               5               1              HB               0   43184005
               16               5               2              HB               0   43284005
                1               6               1              HB               0   43180406
                2               6               1              HB               0   43180806
                3               6               1              HB               0   43180C06
                4               6               1              HB               0   43181006
                5               6               1              HB               0   43181406
                6               6               1              HB               0   43181806
                7               6               1              HB               0   43181C06
                8               6               1              HB               0   43182006
                9               6               1              HB               0   43182406
               10               6               1              HB               0   43182806
               11               6               1              HB               0   43182C06
               12               6               1              HB               0   43183006
               13               6               1              HB               0   43183406
               14               6               1              HB               0   43183806
               15               6               1              HB               0   43183C06
               15               6               2              HB               0   43283C06
               16               6               1              HB               0   43184006
               16               6               2              HB               0   43284006
                1               7               1              HB               0   43180407
                2               7               1              HB               0   43180807
                3               7               1              HB               0   43180C07
                4               7               1              HB               0   43181007
                5               7               1              HB               0   43181407
                6               7               1              HB               0   43181807
                7               7               1              HB               0   43181C07
                8               7               1              HB               0   43182007
                9               7               1              HB               0   43182407
               10               7               1              HB               0   43182807
               11               7               1              HB               0   43182C07
               12               7               1              HB               0   43183007
               13               7               1              HB               0   43183407
               14               7               1              HB               0   43183807
               15               7               1              HB               0   43183C07
               15               7               2              HB               0   43283C07
               16               7               1              HB               0   43184007
               16               7               2              HB               0   43284007
                1               8               1              HB               0   43180408
                2               8               1              HB               0   43180808
                3               8               1              HB               0   43180C08
                4               8               1              HB               0   43181008
                5               8               1              HB               0   43181408
                6               8               1              HB               0   43181808
                7               8               1              HB               0   43181C08
                8               8               1              HB               0   43182008
                9               8               1              HB               0   43182408
               10               8               1              HB               0   43182808
               11               8               1              HB               0   43182C08
               12               8               1              HB               0   43183008
               13               8               1              HB               0   43183408
               14               8               1              HB               0   43183808
               15               8               1              HB               0   43183C08
               15               8               2              HB               0   43283C08
               16               8               1              HB               0   43184008
               16               8               2              HB               0   43284008
                1               9               1              HB               0   43180409
                2               9               1              HB               0   43180809
                3               9               1              HB               0   43180C09
                4               9               1              HB               0   43181009
                5               9               1              HB               0   43181409
                6               9               1              HB               0   43181809
                7               9               1              HB               0   43181C09
                8               9               1              HB               0   43182009
                9               9               1              HB               0   43182409
               10               9               1              HB               0   43182809
               11               9               1              HB               0   43182C09
               12               9               1              HB               0   43183009
               13               9               1              HB               0   43183409
               14               9               1              HB               0   43183809
               15               9               1              HB               0   43183C09
               15               9               2              HB               0   43283C09
               16               9               1              HB               0   43184009
               16               9               2              HB               0   43284009
                1              10               1              HB               0   4318040A
                2              10               1              HB               0   4318080A
                3              10               1              HB               0   43180C0A
                4              10               1              HB               0   4318100A
                5              10               1              HB               0   4318140A
                6              10               1              HB               0   4318180A
                7              10               1              HB               0   43181C0A
                8              10               1              HB               0   4318200A
                9              10               1              HB               0   4318240A
               10              10               1              HB               0   4318280A
               11              10               1              HB               0   43182C0A
               12              10               1              HB               0   4318300A
               13              10               1              HB               0   4318340A
               14              10               1              HB               0   4318380A
               15              10               1              HB               0   43183C0A
               15              10               2              HB               0   43283C0A
               16              10               1              HB               0   4318400A
               16              10               2              HB               0   4328400A
                1              11               1              HB               0   4318040B
                2              11               1              HB               0   4318080B
                3              11               1              HB               0   43180C0B
                4              11               1              HB               0   4318100B
                5              11               1              HB               0   4318140B
                6              11               1              HB               0   4318180B
                7              11               1              HB               0   43181C0B
                8              11               1              HB               0   4318200B
                9              11               1              HB               0   4318240B
               10              11               1              HB               0   4318280B
               11              11               1              HB               0   43182C0B
               12              11               1              HB               0   4318300B
               13              11               1              HB               0   4318340B
               14              11               1              HB               0   4318380B
               15              11               1              HB               0   43183C0B
               15              11               2              HB               0   43283C0B
               16              11               1              HB               0   4318400B
               16              11               2              HB               0   4328400B
                1              12               1              HB               0   4318040C
                2              12               1              HB               0   4318080C
                3              12               1              HB               0   43180C0C
                4              12               1              HB               0   4318100C
                5              12               1              HB               0   4318140C
                6              12               1              HB               0   4318180C
                7              12               1              HB               0   43181C0C
                8              12               1              HB               0   4318200C
                9              12               1              HB               0   4318240C
               10              12               1              HB               0   4318280C
               11              12               1              HB               0   43182C0C
               12              12               1              HB               0   4318300C
               13              12               1              HB               0   4318340C
               14              12               1              HB               0   4318380C
               15              12               1              HB               0   43183C0C
               15              12               2              HB               0   43283C0C
               16              12               1              HB               0   4318400C
               16              12               2              HB               0   4328400C
                1              13               1              HB               0   4318040D
                2              13               1              HB               0   4318080D
                3              13               1              HB               0   43180C0D
                4              13               1              HB               0   4318100D
                5              13               1              HB               0   4318140D
                6              13               1              HB               0   4318180D
                7              13               1              HB               0   43181C0D
                8              13               1              HB               0   4318200D
                9              13               1              HB               0   4318240D
               10              13               1              HB               0   4318280D
               11              13               1              HB               0   43182C0D
               12              13               1              HB               0   4318300D
               13              13               1              HB               0   4318340D
               14              13               1              HB               0   4318380D
               15              13               1              HB               0   43183C0D
               15              13               2              HB               0   43283C0D
               16              13               1              HB               0   4318400D
               16              13               2              HB               0   4328400D
                1              14               1              HB               0   4318040E
                2              14               1              HB               0   4318080E
                3              14               1              HB               0   43180C0E
                4              14               1              HB               0   4318100E
                5              14               1              HB               0   4318140E
                6              14               1              HB               0   4318180E
                7              14               1              HB               0   43181C0E
                8              14               1              HB               0   4318200E
                9              14               1              HB               0   4318240E
               10              14               1              HB               0   4318280E
               11              14               1              HB               0   43182C0E
               12              14               1              HB               0   4318300E
               13              14               1              HB               0   4318340E
               14              14               1              HB               0   4318380E
               15              14               1              HB               0   43183C0E
               15              14               2              HB               0   43283C0E
               16              14               1              HB               0   4318400E
               16              14               2              HB               0   4328400E
                1              15               1              HB               0   4318040F
                2              15               1              HB               0   4318080F
                3              15               1              HB               0   43180C0F
                4              15               1              HB               0   4318100F
                5              15               1              HB               0   4318140F
                6              15               1              HB               0   4318180F
                7              15               1              HB               0   43181C0F
                8              15               1              HB               0   4318200F
                9              15               1              HB               0   4318240F
               10              15               1              HB               0   4318280F
               11              15               1              HB               0   43182C0F
               12              15               1              HB               0   4318300F
               13              15               1              HB               0   4318340F
               14              15               1              HB               0   4318380F
               15              15               1              HB               0   43183C0F
               15              15               2              HB               0   43283C0F
               16              15               1              HB               0   4318400F
               16              15               2              HB               0   4328400F
                1              16               1              HB               0   43180410
                2              16               1              HB               0   43180810
                3              16               1              HB               0   43180C10
                4              16               1              HB               0   43181010
                5              16               1              HB               0   43181410
                6              16               1              HB               0   43181810
                7              16               1              HB               0   43181C10
                8              16               1              HB               0   43182010
                9              16               1              HB               0   43182410
               10              16               1              HB               0   43182810
               11              16               1              HB               0   43182C10
               12              16               1              HB               0   43183010
               13              16               1              HB               0   43183410
               14              16               1              HB               0   43183810
               15              16               1              HB               0   43183C10
               15              16               2              HB               0   43283C10
               16              16               1              HB               0   43184010
               16              16               2              HB               0   43284010
                1              17               1              HB               0   43180411
                2              17               1              HB               0   43180811
                3              17               1              HB               0   43180C11
                4              17               1              HB               0   43181011
                5              17               1              HB               0   43181411
                6              17               1              HB               0   43181811
                7              17               1              HB               0   43181C11
                8              17               1              HB               0   43182011
                9              17               1              HB               0   43182411
               10              17               1              HB               0   43182811
               11              17               1              HB               0   43182C11
               12              17               1              HB               0   43183011
               13              17               1              HB               0   43183411
               14              17               1              HB               0   43183811
               15              17               1              HB               0   43183C11
               15              17               2              HB               0   43283C11
               16              17               1              HB               0   43184011
               16              17               2              HB               0   43284011
                1              18               1              HB               0   43180412
                2              18               1              HB               0   43180812
                3              18               1              HB               0   43180C12
                4              18               1              HB               0   43181012
                5              18               1              HB               0   43181412
                6              18               1              HB               0   43181812
                7              18               1              HB               0   43181C12
                8              18               1              HB               0   43182012
                9              18               1              HB               0   43182412
               10              18               1              HB               0   43182812
               11              18               1              HB               0   43182C12
               12              18               1              HB               0   43183012
               13              18               1              HB               0   43183412
               14              18               1              HB               0   43183812
               15              18               1              HB               0   43183C12
